date,fed_band,rate,shift,action
2025-01-29,4.25%–4.50%,0.045,0.0,hold
2024-12-18,4.25%–4.50%,0.045,-0.0025000000000000022,cut
2024-11-07,4.50%–4.75%,0.0475,-0.0025000000000000022,cut
2024-09-18,4.75%–5.00%,0.05,-0.0049999999999999975,cut
2024-07-31,5.25%–5.50%,0.055,0.0,hold
2024-06-12,5.25%–5.50%,0.055,0.0,hold
2024-05-01,5.25%–5.50%,0.055,0.0,hold
2024-03-20,5.25%–5.50%,0.055,0.0,hold
2024-01-31,5.25%–5.50%,0.055,0.0,hold
2023-12-13,5.25%–5.50%,0.055,0.0,hold
2023-11-01,5.25%–5.50%,0.055,0.0,hold
2023-09-20,5.25%–5.50%,0.055,0.0,hold
2023-07-26,5.25%–5.50%,0.055,0.0025000000000000022,hike
2023-06-14,5.00%–5.25%,0.0525,0.0,hold
2023-05-03,5.00%–5.25%,0.0525,0.0024999999999999953,hike
2023-03-22,4.75%–5.00%,0.05,0.0025000000000000022,hike
2023-02-01,4.50%–4.75%,0.0475,0.0025000000000000022,hike
2022-12-14,4.25%–4.50%,0.045,0.0049999999999999975,hike
2022-11-02,3.75%–4.00%,0.04,0.0075,hike
2022-09-21,3.00%–3.25%,0.0325,0.0075,hike
2022-07-27,2.25%–2.50%,0.025,0.0075,hike
2022-06-15,1.50%–1.75%,0.0175,0.0075000000000000015,hike
2022-05-04,0.75%–1.00%,0.01,0.005,hike
2022-03-16,0.25%–0.50%,0.005,0.0025,hike
2020-11-05,0%–0.25%,0.0025,0.0,hold
2020-09-16,0%–0.25%,0.0025,0.0,hold
2020-08-27,0%–0.25%,0.0025,0.0,hold
2020-07-29,0%–0.25%,0.0025,0.0,hold
2020-06-10,0%–0.25%,0.0025,0.0,hold
2020-04-29,0%–0.25%,0.0025,0.0,hold
2020-03-31,0%–0.25%,0.0025,0.0,hold
2020-03-23,0%–0.25%,0.0025,0.0,hold
2020-03-19,0%–0.25%,0.0025,0.0,hold
2020-03-15,0%–0.25%,0.0025,-0.025,cut
2020-03-03,1%–1.25%,0.0275,0.0,hold
2019-10-30,1.50%–1.75%,0.0275,0.0,hold
2019-09-18,1.75%–2.00%,0.0275,0.0,hold
2019-07-31,2.00%–2.25%,0.0275,-0.0024999999999999988,cut
2018-12-19,2.25%–2.50%,0.03,0.0024999999999999988,hike
2018-09-26,2.00%–2.25%,0.0275,0.0024999999999999988,hike
2018-06-13,1.75%–2.00%,0.025,0.0025000000000000022,hike
2018-03-21,1.50%–1.75%,0.0225,0.0024999999999999988,hike
2017-12-13,1.25%–1.50%,0.02,0.0024999999999999988,hike
2017-06-14,1.00%–1.25%,0.0175,0.0025000000000000022,hike
2017-03-15,0.75%–1.00%,0.015,0.0024999999999999988,hike
2016-12-14,0.50%–0.75%,0.0125,0.0025000000000000005,hike
2015-12-16,0.25%–0.50%,0.01,0.0025000000000000005,hike
2011-06-22,0.00%–0.25%,0.0075,0.0024999999999999996,hike
2008-12-16,0.00%–0.25%,0.005,-0.007500000000000001,cut
2008-10-29,1.00%,0.0125,-0.005000000000000001,cut
2008-10-08,1.50%,0.0175,-0.0049999999999999975,cut
2008-09-16,2.00%,0.0225,0.0,hold
2008-08-05,2.00%,0.0225,0.0,hold
2008-04-30,2.00%,0.0225,-0.0025000000000000022,cut
2008-03-18,2.25%,0.025,-0.0075,cut
2008-03-16,3.00%,0.0325,-0.0025000000000000022,cut
2008-01-30,3.00%,0.035,-0.0049999999999999975,cut
2008-01-22,3.50%,0.04,-0.0075,cut
2007-12-11,4.25%,0.0475,-0.0025000000000000022,cut
2007-10-31,4.50%,0.05,-0.0024999999999999953,cut
2007-09-18,4.75%,0.0525,-0.0050000000000000044,cut
2007-08-17,5.25%,0.0575,-0.0049999999999999975,cut
2007-08-07,5.25%,0.0625,0.0,hold
2007-06-28,5.25%,0.0625,0.0,hold
2007-05-09,5.25%,0.0625,0.0,hold
2007-03-21,5.25%,0.0625,0.0,hold
2007-01-31,5.25%,0.0625,0.0,hold
2006-12-12,5.25%,0.0625,0.0,hold
2006-10-25,5.25%,0.0625,0.0,hold
2006-09-20,5.25%,0.0625,0.0,hold
2006-08-08,5.25%,0.0625,0.0,hold
2006-06-29,5.25%,0.0625,0.0025000000000000022,hike
2006-05-10,5.00%,0.06,0.0024999999999999953,hike
2006-03-28,4.75%,0.0575,0.0025000000000000022,hike
2006-01-31,4.50%,0.055,0.0025000000000000022,hike
2005-12-13,4.25%,0.0525,0.0024999999999999953,hike
2005-11-01,4.00%,0.05,0.0025000000000000022,hike
2005-09-20,3.75%,0.0475,0.0025000000000000022,hike
2005-08-09,3.50%,0.045,0.0024999999999999953,hike
2005-06-30,3.25%,0.0425,0.0025000000000000022,hike
2005-05-03,3.00%,0.04,0.0025000000000000022,hike
2005-03-22,2.75%,0.0375,0.0024999999999999953,hike
2005-02-02,2.50%,0.035,0.0025000000000000022,hike
2004-12-14,2.25%,0.0325,0.0025000000000000022,hike
2004-11-10,2.00%,0.03,0.0024999999999999988,hike
2004-09-21,1.75%,0.0275,0.0024999999999999988,hike
2004-08-10,1.50%,0.025,0.0025000000000000022,hike
2004-06-30,1.25%,0.0225,0.0024999999999999988,hike
2004-05-04,1.00%,0.02,0.0,hold
2004-03-16,1.00%,0.02,0.0,hold
2004-01-28,1.00%,0.02,0.0,hold
2003-12-09,1.00%,0.02,0.0,hold
2003-10-28,1.00%,0.02,0.0,hold
2003-09-16,1.00%,0.02,0.0,hold
2003-08-12,1.00%,0.02,0.0,hold
2003-06-25,1.00%,0.02,-0.0024999999999999988,cut
2003-05-06,1.25%,0.0225,0.0,hold
2003-03-18,1.25%,0.0225,0.0,hold
2003-01-29,1.25%,0.0225,0.0,hold
2003-01-09,1.25%,0.0225,0.015,hike
2002-12-10,1.25%,0.0075,0.0,hold
2002-11-06,1.25%,0.0075,-0.005000000000000001,cut
2002-09-24,1.75%,0.0125,0.0,hold
2002-08-13,1.75%,0.0125,0.0,hold
2002-06-26,1.75%,0.0125,0.0,hold
2002-05-07,1.75%,0.0125,0.0,hold
2002-03-19,1.75%,0.0125,0.0,hold
2002-01-30,1.75%,0.0125,0.0,hold
2001-12-11,1.75%,0.0125,-0.0024999999999999988,cut
2001-11-06,2.00%,0.015,-0.005000000000000001,cut
2001-10-02,2.50%,0.02,-0.005000000000000001,cut
2001-09-17,3.00%,0.025,-0.0049999999999999975,cut
2001-08-21,3.50%,0.03,-0.0025000000000000022,cut
2001-06-27,3.75%,0.0325,-0.0025000000000000022,cut
2001-05-15,4.00%,0.035,-0.0049999999999999975,cut
2001-04-18,4.50%,0.04,-0.0049999999999999975,cut
2001-03-20,5.00%,0.045,-0.0050000000000000044,cut
2001-01-31,5.50%,0.05,-0.0075,cut
2001-01-03,6.00%,0.0575,-0.0024999999999999953,cut
2000-12-19,6.50%,0.06,0.0,hold
2000-11-15,6.50%,0.06,0.0,hold
2000-10-03,6.50%,0.06,0.0,hold
2000-08-22,6.50%,0.06,0.0,hold
2000-06-28,6.50%,0.06,0.0,hold
2000-05-16,6.50%,0.06,0.0049999999999999975,hike
2000-03-21,6.00%,0.055,0.0025000000000000022,hike
